0,-5707.330020546056
1,-5707.293582200271
2,-5707.272894852006
3,-5707.228357078196
4,-5707.031794369632
5,-5706.184795082635
6,-5704.59958353086
7,-5703.815784578597
8,-5703.3865853553925
9,-5702.650049639753
10,-5701.298742591234
11,-5698.951691598962
12,-5695.169018479835
13,-5689.601781823228
14,-5682.00702590588
15,-5671.4072327094855
16,-5656.166623922623
17,-5634.948375006364
18,-5609.398137224382
19,-5585.529545766831
20,-5568.099336639158
21,-5556.937283642892
22,-5549.830126606201
23,-5545.070599685969
24,-5541.725298573552
25,-5539.272778697488
26,-5537.391707450225
27,-5535.878023862806
28,-5534.603020741044
29,-5533.4864633253555
30,-5532.478889759193
31,-5531.550007577067
32,-5530.68108519889
33,-5529.860029275176
34,-5529.078299642254
35,-5528.329070825823
36,-5527.606225589916
37,-5526.903903990672
38,-5526.216434678534
39,-5525.538536921586
40,-5524.865697544997
41,-5524.194603707952
42,-5523.523477850241
43,-5522.852162670785
44,-5522.181879888704
45,-5521.51471987305
46,-5520.853030169355
47,-5520.198883188203
48,-5519.55372209139
49,-5518.918186844098
50,-5518.292075767296
51,-5517.6744049660065
52,-5517.063552937748
53,-5516.457491042542
54,-5515.854095237528
55,-5515.25151655877
56,-5514.648565550681
57,-5514.045046801088
58,-5513.441971686902
59,-5512.841587355702
60,-5512.24719120004
61,-5511.662749187853
62,-5511.092390535183
63,-5510.539889790886
64,-5510.008251913033
65,-5509.499482180963
66,-5509.014565875396
67,-5508.55362909645
68,-5508.116227918783
69,-5507.701738428828
70,-5507.309881451818
71,-5506.941399490923
72,-5506.598613263727
73,-5506.285084602398
74,-5506.003777817781
75,-5505.75470544715
76,-5505.534217162388
77,-5505.336509441284
78,-5505.155761226162
79,-5504.987426072792
80,-5504.828479810192
81,-5504.677090194275
82,-5504.532185199661
83,-5504.393141110049
84,-5504.25960043378
85,-5504.13136867341
86,-5504.008350889562
87,-5503.890507415897
88,-5503.77781897613
89,-5503.670257220069
90,-5503.567759827261
91,-5503.470210832285
92,-5503.377427115325
93,-5503.289151432687
94,-5503.205051371023
95,-5503.124722652993
96,-5503.047694629329
97,-5502.97343568111
98,-5502.901356517777
99,-5502.830809733579
100,-5502.7610841617125
101,-5502.691392277584
102,-5502.620848073932
103,-5502.54843189556
104,-5502.4729392980635
